1901.html;8
1902.html;8
1903.html;11
1904.html;13
1905.html;15
1906.html;17
1907.html;14
1908.html;17
1909.html;16
1910.html;15
1911.html;16
1912.html;16
1913.html;17
1914.html;17
1915.html;16
1916.html;17
1917.html;18
1918.html;18
1919.html;18
1920.html;19
1921.html;18
1922.html;18
1923.html;19
1924.html;19
1925.html;19
1926.html;18
1927.html;16
1928.html;17
1929.html;19
1930.html;19
1931.html;18
1932.html;18
1933.html;18
1934.html;19
1935.html;19
1936.html;21
1937.html;22
1938.html;19
1939.html;19
1940.html;19
1941.html;18
1942.html;19
1943.html;19
1944.html;18
1945.html;18
1946.html;18
1947.html;17
1948.html;19
1949.html;20
1950.html;20
1951.html;19
1952.html;18
1953.html;18
1954.html;19
1955.html;17
1956.html;17
1957.html;11
1958.html;10
1959.html;10
2000.html;9
2001.html;8
